cash_change,close_price,collateral,cost,cost_basis,date,expiry,premium,premium_collected,price,realized_pnl,reason,shares,strike,ticker,type
29.230942196324516,,1300.0,,,2021-12-07,2022-01-05,29.230942196324516,,,,,,13.0,T,write_csp
22.368344601585566,,,,,2021-12-16,2022-01-18,22.368344601585566,,,,,,14.673408851623536,T,write_cc
-3.762370674368154,3.762370674368154,,,,2021-12-20,2022-01-02,,22.20197064647529,,18.439599972107136,,,42.49393203735352,BAC,btc_call
42.10180669998209,,,,,2021-12-20,2022-01-22,42.10180669998209,,,,,,41.4406576538086,BAC,write_cc
-8.400640805096993,8.400640805096993,,,,2021-12-21,2022-01-05,,29.230942196324516,,20.830301391227522,,,13.0,T,btc_put
60.77987338322206,,1400.0,,,2021-12-21,2022-01-19,60.77987338322206,,,,,,14.0,F,write_csp
-23.811003759977734,23.811003759977734,,,,2021-12-27,2022-01-19,,60.77987338322206,,36.96886962324433,,,14.0,F,btc_put
28.27939730896425,,1350.0,,,2021-12-27,2022-01-25,28.27939730896425,,,,,,13.5,T,write_csp
-8.744428360850387,8.744428360850387,,,,2021-12-29,2022-01-01,,27.913220186602096,,19.16879182575171,,,15.657135658264162,F,btc_call
42.5273494542294,,,,,2021-12-29,2022-01-31,42.5273494542294,,,,,,16.36556636810303,F,write_cc
-7.554664805269362,7.554664805269362,,,,2022-01-03,2022-01-25,,28.27939730896425,,20.724732503694888,,,13.5,T,btc_put
62.4993950752712,,1550.0,,,2022-01-03,2022-02-01,62.4993950752712,,,,,,15.5,F,write_csp
-24.982320808319393,24.982320808319393,,,,2022-01-06,2022-02-01,,62.4993950752712,,37.51707426695181,,,15.5,F,btc_put
28.613259542391045,,1450.0,,,2022-01-06,2022-02-04,28.613259542391045,,,,,,14.5,T,write_csp
-85.61263850437211,85.61263850437211,,,,2022-01-11,2022-01-18,,22.368344601585566,,-63.24429390278655,,,14.673408851623536,T,btc_call
15.895213863102509,,,,,2022-01-11,2022-02-13,15.895213863102509,,,,,,16.74251106262207,T,write_cc
-9.144268856239313,9.144268856239313,,,,2022-01-12,2022-02-04,,28.613259542391045,,19.468990686151734,,,14.5,T,btc_put
25.85360701841921,,1500.0,,,2022-01-12,2022-02-10,25.85360701841921,,,,,,15.0,T,write_csp
-2.1120868076841326,2.1120868076841326,,,,2022-01-18,2022-02-10,,25.85360701841921,,23.74152021073508,,,15.0,T,btc_put
-8.76342767280791,8.76342767280791,,,,2022-01-20,2022-01-22,,42.10180669998209,,33.338379027174184,,,41.4406576538086,BAC,btc_call
-6.117697273098921,6.117697273098921,,,,2022-01-20,2022-02-13,,15.895213863102509,,9.777516590003588,,,16.74251106262207,T,btc_call
35.797936198443466,,,,,2022-01-20,2022-02-22,35.797936198443466,,,,,,43.92747482299805,BAC,write_cc
84.27009602222996,,1550.0,,,2022-01-20,2022-02-18,84.27009602222996,,,,,,15.5,F,write_csp
