cash_change,close_price,collateral,cost,cost_basis,date,expiry,premium,premium_collected,price,realized_pnl,reason,shares,strike,ticker,type
30.04630157519501,,,,,2021-10-11,2021-11-13,30.04630157519501,,,,,,11.5,F,write_cc
30.04630157519501,,,,,2021-10-11,2021-11-13,30.04630157519501,,,,,,11.5,F,write_cc
15.981429696816196,,,,,2021-10-29,2021-12-01,15.981429696816196,,,,,,15.0,T,write_cc
15.981429696816196,,,,,2021-10-29,2021-12-01,15.981429696816196,,,,,,15.0,T,write_cc
-6.024777499051304,6.024777499051304,,,,2021-11-08,2021-12-01,,15.981429696816196,,9.956652197764893,,,15.0,T,btc_call
-6.024777499051304,6.024777499051304,,,,2021-11-08,2021-12-01,,15.981429696816196,,9.956652197764893,,,15.0,T,btc_call
,,,,,2021-11-15,2021-11-13,,,,30.04630157519501,,,11.5,F,expire_call
,,,,,2021-11-15,2021-11-13,,,,30.04630157519501,,,11.5,F,expire_call
46.43510802721265,,,,,2021-11-15,2021-12-18,46.43510802721265,,,,,,15.5,F,write_cc
46.43510802721265,,,,,2021-11-15,2021-12-18,46.43510802721265,,,,,,15.5,F,write_cc
-17.985892046025143,17.985892046025143,,,,2021-11-29,2021-12-18,,46.43510802721265,,28.449215981187507,,,15.5,F,btc_call
-17.985892046025143,17.985892046025143,,,,2021-11-29,2021-12-18,,46.43510802721265,,28.449215981187507,,,15.5,F,btc_call
47.613742539642786,,,,,2021-11-29,2022-01-01,47.613742539642786,,,,,,15.0,F,write_cc
47.613742539642786,,,,,2021-11-29,2022-01-01,47.613742539642786,,,,,,15.0,F,write_cc
16.671581693226223,,,,,2021-11-30,2022-01-02,16.671581693226223,,,,,,13.5,T,write_cc
16.671581693226223,,,,,2021-11-30,2022-01-02,16.671581693226223,,,,,,13.5,T,write_cc
-6.23283618769348,6.23283618769348,,,,2021-12-15,2022-01-02,,16.671581693226223,,10.438745505532744,,,13.5,T,btc_call
-6.23283618769348,6.23283618769348,,,,2021-12-15,2022-01-02,,16.671581693226223,,10.438745505532744,,,13.5,T,btc_call
26.57410206388939,,,,,2021-12-16,2022-01-18,26.57410206388939,,,,,,14.5,T,write_cc
26.57410206388939,,,,,2021-12-16,2022-01-18,26.57410206388939,,,,,,14.5,T,write_cc
-53.49655589134823,53.49655589134823,,,,2021-12-27,2022-01-01,,47.613742539642786,,-5.882813351705444,,,15.0,F,btc_call
-53.49655589134823,53.49655589134823,,,,2021-12-27,2022-01-01,,47.613742539642786,,-5.882813351705444,,,15.0,F,btc_call
61.866363441642136,,,,,2021-12-27,2022-01-29,61.866363441642136,,,,,,16.0,F,write_cc
61.866363441642136,,,,,2021-12-27,2022-01-29,61.866363441642136,,,,,,16.0,F,write_cc
-101.65250708211389,101.65250708211389,,,,2022-01-11,2022-01-18,,26.57410206388939,,-75.07840501822449,,,14.5,T,btc_call
-101.65250708211389,101.65250708211389,,,,2022-01-11,2022-01-18,,26.57410206388939,,-75.07840501822449,,,14.5,T,btc_call
20.918142737190326,,,,,2022-01-11,2022-02-13,20.918142737190326,,,,,,16.5,T,write_cc
20.918142737190326,,,,,2022-01-11,2022-02-13,20.918142737190326,,,,,,16.5,T,write_cc
-6.721597882553176,6.721597882553176,,,,2022-01-21,2022-02-13,,20.918142737190326,,14.19654485463715,,,16.5,T,btc_call
-6.721597882553176,6.721597882553176,,,,2022-01-21,2022-02-13,,20.918142737190326,,14.19654485463715,,,16.5,T,btc_call
-12.05124457142217,12.05124457142217,,,,2022-01-24,2022-01-29,,61.866363441642136,,49.81511887021996,,,16.0,F,btc_call
-12.05124457142217,12.05124457142217,,,,2022-01-24,2022-01-29,,61.866363441642136,,49.81511887021996,,,16.0,F,btc_call
72.98428324366206,,,,,2022-01-24,2022-02-26,72.98428324366206,,,,,,16.0,F,write_cc
72.98428324366206,,,,,2022-01-24,2022-02-26,72.98428324366206,,,,,,16.0,F,write_cc
36.88780024978229,,,,,2022-01-26,2022-02-28,36.88780024978229,,,,,,15.0,T,write_cc
36.88780024978229,,,,,2022-01-26,2022-02-28,36.88780024978229,,,,,,15.0,T,write_cc
-25.200233384465733,25.200233384465733,,,,2022-02-03,2022-02-26,,72.98428324366206,,47.78404985919633,,,16.0,F,btc_call
-25.200233384465733,25.200233384465733,,,,2022-02-03,2022-02-26,,72.98428324366206,,47.78404985919633,,,16.0,F,btc_call
51.25669292687274,,,,,2022-02-03,2022-03-08,51.25669292687274,,,,,,15.5,F,write_cc
51.25669292687274,,,,,2022-02-03,2022-03-08,51.25669292687274,,,,,,15.5,F,write_cc
-16.990764908231704,16.990764908231704,,,,2022-02-07,2022-03-08,,51.25669292687274,,34.265928018641034,,,15.5,F,btc_call
-16.990764908231704,16.990764908231704,,,,2022-02-07,2022-03-08,,51.25669292687274,,34.265928018641034,,,15.5,F,btc_call
55.50877362942002,,,,,2022-02-07,2022-03-12,55.50877362942002,,,,,,14.0,F,write_cc
55.50877362942002,,,,,2022-02-07,2022-03-12,55.50877362942002,,,,,,14.0,F,write_cc
-11.556249805013818,11.556249805013818,,,,2022-02-16,2022-02-28,,36.88780024978229,,25.331550444768467,,,15.0,T,btc_call
-11.556249805013818,11.556249805013818,,,,2022-02-16,2022-02-28,,36.88780024978229,,25.331550444768467,,,15.0,T,btc_call
33.95679283029915,,,,,2022-02-16,2022-03-21,33.95679283029915,,,,,,15.0,T,write_cc
33.95679283029915,,,,,2022-02-16,2022-03-21,33.95679283029915,,,,,,15.0,T,write_cc
-18.028692302194436,18.028692302194436,,,,2022-02-22,2022-03-12,,55.50877362942002,,37.480081327225584,,,14.0,F,btc_call
-18.028692302194436,18.028692302194436,,,,2022-02-22,2022-03-12,,55.50877362942002,,37.480081327225584,,,14.0,F,btc_call
49.3627358241616,,,,,2022-02-22,2022-03-27,49.3627358241616,,,,,,13.5,F,write_cc
49.3627358241616,,,,,2022-02-22,2022-03-27,49.3627358241616,,,,,,13.5,F,write_cc
-11.764193082457686,11.764193082457686,,,,2022-02-25,2022-03-21,,33.95679283029915,,22.192599747841463,,,15.0,T,btc_call
-11.764193082457686,11.764193082457686,,,,2022-02-25,2022-03-21,,33.95679283029915,,22.192599747841463,,,15.0,T,btc_call
17.215835315443016,,,,,2022-02-25,2022-03-30,17.215835315443016,,,,,,15.0,T,write_cc
17.215835315443016,,,,,2022-02-25,2022-03-30,17.215835315443016,,,,,,15.0,T,write_cc
-5.830527807428965,5.830527807428965,,,,2022-03-01,2022-03-30,,17.215835315443016,,11.385307508014051,,,15.0,T,btc_call
-5.830527807428965,5.830527807428965,,,,2022-03-01,2022-03-30,,17.215835315443016,,11.385307508014051,,,15.0,T,btc_call
16.471219633059153,,,,,2022-03-01,2022-04-03,16.471219633059153,,,,,,14.5,T,write_cc
16.471219633059153,,,,,2022-03-01,2022-04-03,16.471219633059153,,,,,,14.5,T,write_cc
-19.210806302427173,19.210806302427173,,,,2022-03-07,2022-03-27,,49.3627358241616,,30.151929521734424,,,13.5,F,btc_call
-19.210806302427173,19.210806302427173,,,,2022-03-07,2022-03-27,,49.3627358241616,,30.151929521734424,,,13.5,F,btc_call
62.79127699348379,,,,,2022-03-07,2022-04-09,62.79127699348379,,,,,,12.5,F,write_cc
62.79127699348379,,,,,2022-03-07,2022-04-09,62.79127699348379,,,,,,12.5,F,write_cc
-3.69466570711654,3.69466570711654,,,,2022-03-08,2022-04-03,,16.471219633059153,,12.776553925942613,,,14.5,T,btc_call
-3.69466570711654,3.69466570711654,,,,2022-03-08,2022-04-03,,16.471219633059153,,12.776553925942613,,,14.5,T,btc_call
15.332690197934795,,,,,2022-03-08,2022-04-10,15.332690197934795,,,,,,14.0,T,write_cc
15.332690197934795,,,,,2022-03-08,2022-04-10,15.332690197934795,,,,,,14.0,T,write_cc
-17.444069598659073,17.444069598659073,,,,2022-04-04,2022-04-09,,62.79127699348379,,45.34720739482472,,,12.5,F,btc_call
-17.444069598659073,17.444069598659073,,,,2022-04-04,2022-04-09,,62.79127699348379,,45.34720739482472,,,12.5,F,btc_call
36.64724818321563,,,,,2022-04-04,2022-05-07,36.64724818321563,,,,,,13.0,F,write_cc
36.64724818321563,,,,,2022-04-04,2022-05-07,36.64724818321563,,,,,,13.0,F,write_cc
-11.602652806870427,11.602652806870427,,,,2022-04-06,2022-05-07,,36.64724818321563,,25.044595376345203,,,13.0,F,btc_call
-11.602652806870427,11.602652806870427,,,,2022-04-06,2022-05-07,,36.64724818321563,,25.044595376345203,,,13.0,F,btc_call
35.04233333217872,,,,,2022-04-06,2022-05-09,35.04233333217872,,,,,,12.0,F,write_cc
35.04233333217872,,,,,2022-04-06,2022-05-09,35.04233333217872,,,,,,12.0,F,write_cc
