date,always_on_equity,vix_gated_equity
2022-02-03,11701.812648773193,11478.931812286377
2022-02-04,11645.225429534912,11422.344593048096
2022-02-07,11700.941753387451,11478.060916900635
2022-02-08,11735.764598846436,11512.88376235962
2022-02-09,11652.19030380249,11429.309467315674
2022-02-10,11681.789302825928,11458.908466339111
2022-02-11,11586.897945404053,11364.017108917236
2022-02-14,11620.850276947021,11397.969440460205
2022-02-15,11640.872859954834,11417.992023468018
2022-02-16,11640.001583099365,11417.120746612549
2022-02-17,11746.21114730835,11523.330310821533
2022-02-18,11782.774257659912,11559.893421173096
2022-02-21,6338.279628753662,6115.398792266846
2022-02-22,11760.138988494873,11537.258152008057
2022-02-23,11700.06971359253,11477.188877105713
2022-02-24,11606.050395965576,11383.16955947876
2022-02-25,11809.76209640503,11586.881259918213
2022-02-28,11756.657695770264,11533.776859283447
2022-03-01,11787.101406097412,11564.220569610596
2022-03-02,11827.14733505249,11604.266498565674
2022-03-03,11830.629009246826,11607.74817276001
2022-03-04,11839.334148406982,11616.453311920166
2022-03-07,11709.62147140503,11486.740634918213
2022-03-08,11498.945278167725,11276.064441680908
2022-03-09,11525.061458587646,11302.18062210083
2022-03-10,11431.04137802124,11208.160541534424
2022-03-11,11434.523052215576,11211.64221572876
2022-03-14,11527.508586883545,11304.627750396729
2022-03-15,11622.249263763428,11399.368427276611
2022-03-16,11608.213466644287,11385.33263015747
2022-03-17,11663.479274749756,11440.59843826294
2022-03-18,11664.356273651123,11441.475437164307
2022-03-21,11706.463283538818,11483.582447052002
2022-03-22,11725.761455535889,11502.880619049072
2022-03-23,11690.67387008667,11467.793033599854
2022-03-24,11741.55277633667,11518.671939849854
2022-03-25,11789.799160003662,11566.918323516846
2022-03-28,11824.012035369873,11601.131198883057
2022-03-29,11845.065349578857,11622.184513092041
2022-03-30,11849.451107025146,11626.57027053833
2022-03-31,11831.029933929443,11608.149097442627
2022-04-01,11962.499492645264,11684.467456817627
2022-04-04,11933.550899505615,11655.518863677979
2022-04-05,11927.410381317139,11704.178653717041
2022-04-06,11982.67580795288,11759.444080352783
2022-04-07,12012.500637054443,11789.268909454346
2022-04-08,12046.712749481201,11823.481021881104
2022-04-11,12044.959133148193,11821.727405548096
2022-04-12,12110.750453948975,11887.518726348877
2022-04-13,12125.664775848389,11902.433048248291
2022-04-14,12151.103466033936,11927.871738433838
2022-04-15,6447.379558563232,6224.147830963135
