cash_change,close_price,collateral,cost,cost_basis,date,expiry,premium,premium_collected,price,realized_pnl,shares,strike,ticker,type
23.814585564204727,,,,,2020-10-27,2020-11-29,23.814585564204727,,,,,14.5,T,write_cc
-26.230674297064915,26.230674297064915,,,,2020-11-03,2020-11-10,,15.115390300585707,,-11.115283996479208,,5.55171754360199,F,btc_call
16.34299981647951,,,,,2020-11-03,2020-12-06,16.34299981647951,,,,,6.0,F,write_cc
-254.1423203804868,254.1423203804868,,,,2020-11-10,2020-11-16,,40.45486074754487,,-213.68745963294194,,21.5,BAC,btc_call
131.4582485159752,,,,,2020-11-10,2020-12-13,131.4582485159752,,,,,25,BAC,write_cc
-44.29187307519573,44.29187307519573,,,,2020-11-23,2020-11-29,,23.814585564204727,,-20.477287510991005,,14.5,T,btc_call
17.147761826177277,,,,,2020-11-23,2020-12-26,17.147761826177277,,,,,15.5,T,write_cc
-66.33767335519155,66.33767335519155,,,,2020-11-30,2020-12-06,,16.34299981647951,,-49.99467353871205,,6.0,F,btc_call
21.70046122029481,,,,,2020-11-30,2021-01-02,21.70046122029481,,,,,7.0,F,write_cc
-37.43551170889425,37.43551170889425,,,,2020-12-09,2020-12-13,,131.4582485159752,,94.02273680708096,,25,BAC,btc_call
53.58091818164912,,,,,2020-12-09,2021-01-11,53.58091818164912,,,,,26,BAC,write_cc
-6.727321436399891,6.727321436399891,,,,2020-12-14,2021-01-02,,21.70046122029481,,14.973139783894919,,7.0,F,btc_call
17.19146155392588,,,,,2020-12-15,2021-01-17,17.19146155392588,,,,,7.0,F,write_cc
-4.3300487500564255,4.3300487500564255,,,,2020-12-21,2020-12-26,,17.147761826177277,,12.817713076120851,,15.5,T,btc_call
-6.712727303327037,6.712727303327037,,,,2020-12-22,2021-01-17,,17.19146155392588,,10.478734250598842,,7.0,F,btc_call
19.056430587143012,,,,,2020-12-22,2021-01-24,19.056430587143012,,,,,15.5,T,write_cc
2600,,,,29.646381378173828,2021-01-11,,,,26,-364.6381378173828,100,,BAC,sell_lot
,,,,,2021-01-11,2021-01-11,,,,,,26,BAC,assign_call
-1539.2069816589355,,,,,2021-01-11,,,,15.392069816589355,,100,,T,buy_lot
15.979341700363126,,,,,2021-01-11,2021-02-13,15.979341700363126,,,,,7.02462375164032,F,write_cc
-4.97219913813014,4.97219913813014,,,,2021-01-21,2021-01-24,,19.056430587143012,,14.084231449012872,,15.5,T,btc_call
30.233732292393036,,800.0,,,2021-01-25,2021-02-23,30.233732292393036,,,,,8.0,F,write_csp
-145.27826955052942,145.27826955052942,,,,2021-02-08,2021-02-13,,15.979341700363126,,-129.29892785016628,,7.02462375164032,F,btc_call
28.353801498847897,,,,,2021-02-08,2021-03-13,28.353801498847897,,,,,9.0,F,write_cc
-7.154165358787168,7.154165358787168,,,,2021-02-09,2021-02-23,,30.233732292393036,,23.079566933605868,,8.0,F,btc_put
35.088592460729686,,850.0,,,2021-02-09,2021-03-10,35.088592460729686,,,,,8.5,F,write_csp
-7.899430770117011,7.899430770117011,,,,2021-02-22,2021-03-13,,28.353801498847897,,20.454370728730886,,9.0,F,btc_call
-6.088473788341098,6.088473788341098,,,,2021-02-24,2021-03-10,,35.088592460729686,,29.000118672388588,,8.5,F,btc_put
17.27567570786941,,,,,2021-02-24,2021-03-29,17.27567570786941,,,,,9.5,F,write_cc
29.676101137035403,,850.0,,,2021-02-25,2021-03-26,29.676101137035403,,,,,8.5,F,write_csp
-9.059769212754576,9.059769212754576,,,,2021-03-02,2021-03-26,,29.676101137035403,,20.61633192428083,,8.5,F,btc_put
27.974463072814928,,900.0,,,2021-03-02,2021-03-31,27.974463072814928,,,,,9.0,F,write_csp
15.253571166225788,,,,,2021-03-09,2021-04-11,15.253571166225788,,,,,16.5,T,write_cc
-8.775254569780234,8.775254569780234,,,,2021-03-12,2021-03-31,,27.974463072814928,,19.199208503034694,,9.0,F,btc_put
31.2664124060805,,950.0,,,2021-03-12,2021-04-10,31.2664124060805,,,,,9.5,F,write_csp
-5.840088338437099,5.840088338437099,,,,2021-03-23,2021-03-29,,17.27567570786941,,11.435587369432312,,9.5,F,btc_call
32.71769408472451,,,,,2021-03-23,2021-04-25,32.71769408472451,,,,,9.5,F,write_cc
-5.458719089770803,5.458719089770803,,,,2021-03-31,2021-04-11,,15.253571166225788,,9.794852076454985,,16.5,T,btc_call
,,,,,2021-04-12,2021-04-10,,,,31.2664124060805,,9.5,F,expire_put
-12.032292577105608,12.032292577105608,,,,2021-04-12,2021-04-25,,32.71769408472451,,20.685401507618906,,9.5,F,btc_call
27.013102823249334,,,,,2021-04-12,2021-05-15,27.013102823249334,,,,,9.5,F,write_cc
37.22043830708044,,900.0,,,2021-04-12,2021-05-11,37.22043830708044,,,,,9.0,F,write_csp
-9.035523231201736,9.035523231201736,,,,2021-04-19,2021-05-15,,27.013102823249334,,17.977579592047597,,9.5,F,btc_call
21.50519879352064,,,,,2021-04-21,2021-05-24,21.50519879352064,,,,,9.0,F,write_cc
-900.0,,,900.0,,2021-05-11,2021-05-11,,,,,,9.0,F,assign_put
-6.47098771121406,6.47098771121406,,,,2021-05-12,2021-05-24,,21.50519879352064,,15.03421108230658,,9.0,F,btc_call
35.02016863088677,,,,,2021-05-12,2021-06-14,35.02016863088677,,,,,8.557953720092774,F,write_cc
26.469468895634662,,,,,2021-05-18,2021-06-20,26.469468895634662,,,,,17.0,T,write_cc
-9.862162435005795,9.862162435005795,,,,2021-06-01,2021-06-20,,26.469468895634662,,16.60730646062887,,17.0,T,btc_call
19.52907167825444,,,,,2021-06-01,2021-07-04,19.52907167825444,,,,,17.0,T,write_cc
-308.7418057935164,308.7418057935164,,,,2021-06-07,2021-06-14,,35.02016863088677,,-273.72163716262963,,8.557953720092774,F,btc_call
56.92280110551682,,,,,2021-06-07,2021-07-10,56.92280110551682,,,,,12.0,F,write_cc
-6.88569261220775,6.88569261220775,,,,2021-06-14,2021-07-04,,19.52907167825444,,12.64337906604669,,17.0,T,btc_call
25.96135508409496,,,,,2021-06-14,2021-07-17,25.96135508409496,,,,,16.5,T,write_cc
-20.418699603302095,20.418699603302095,,,,2021-06-17,2021-07-10,,56.92280110551682,,36.50410150221472,,12.0,F,btc_call
-4.69097054219092,4.69097054219092,,,,2021-06-17,2021-07-17,,25.96135508409496,,21.270384541904043,,16.5,T,btc_call
44.216274606706385,,,,,2021-06-17,2021-07-20,44.216274606706385,,,,,11.5,F,write_cc
-13.606987672455562,13.606987672455562,,,,2021-06-30,2021-07-20,,44.216274606706385,,30.609286934250825,,11.5,F,btc_call
22.21166196544866,,,,,2021-06-30,2021-08-02,22.21166196544866,,,,,11.5,F,write_cc
-4.5498174814985415,4.5498174814985415,,,,2021-07-06,2021-08-02,,22.21166196544866,,17.66184448395012,,11.5,F,btc_call
17.156126645688154,,,,,2021-07-06,2021-08-08,17.156126645688154,,,,,11.0,F,write_cc
-5.476746243808095,5.476746243808095,,,,2021-07-15,2021-08-08,,17.156126645688154,,11.67938040188006,,11.0,F,btc_call
20.307973430530524,,,,,2021-07-19,2021-08-21,20.307973430530524,,,,,10.030858945846559,F,write_cc
-1.7670915224358819,1.7670915224358819,,,,2021-08-17,2021-08-21,,20.307973430530524,,18.54088190809464,,10.030858945846559,F,btc_call
24.66946679006714,,,,,2021-08-17,2021-09-19,24.66946679006714,,,,,10.0,F,write_cc
-7.595138607363916,7.595138607363916,,,,2021-09-02,2021-09-19,,24.66946679006714,,17.074328182703226,,10.0,F,btc_call
15.18503327150622,,,,,2021-09-02,2021-10-05,15.18503327150622,,,,,10.0,F,write_cc
-5.159075381515943,5.159075381515943,,,,2021-09-10,2021-10-05,,15.18503327150622,,10.025957889990277,,10.0,F,btc_call
21.614228571920833,,,,,2021-09-15,2021-10-18,21.614228571920833,,,,,10.0,F,write_cc
-107.0125781350443,107.0125781350443,,,,2021-10-11,2021-10-18,,21.614228571920833,,-85.39834956312346,,10.0,F,btc_call
30.046205032974214,,,,,2021-10-11,2021-11-13,30.046205032974214,,,,,11.5,F,write_cc
15.981205618346017,,,,,2021-10-29,2021-12-01,15.981205618346017,,,,,15.0,T,write_cc
-6.024657423174196,6.024657423174196,,,,2021-11-08,2021-12-01,,15.981205618346017,,9.956548195171822,,15.0,T,btc_call
,,,,,2021-11-15,2021-11-13,,,,30.046205032974214,,11.5,F,expire_call
46.43519378648033,,,,,2021-11-15,2021-12-18,46.43519378648033,,,,,15.5,F,write_cc
-17.98582999053164,17.98582999053164,,,,2021-11-29,2021-12-18,,46.43519378648033,,28.449363795948692,,15.5,F,btc_call
47.613643304968,,,,,2021-11-29,2022-01-01,47.613643304968,,,,,15.0,F,write_cc
16.671432940954922,,,,,2021-11-30,2022-01-02,16.671432940954922,,,,,13.5,T,write_cc
-6.232845925930874,6.232845925930874,,,,2021-12-15,2022-01-02,,16.671432940954922,,10.438587015024048,,13.5,T,btc_call
26.57422000339573,,,,,2021-12-16,2022-01-18,26.57422000339573,,,,,14.5,T,write_cc
-53.49671741125768,53.49671741125768,,,,2021-12-27,2022-01-01,,47.613643304968,,-5.883074106289676,,15.0,F,btc_call
61.86627575399992,,,,,2021-12-27,2022-01-29,61.86627575399992,,,,,16.0,F,write_cc
-101.6524260293906,101.6524260293906,,,,2022-01-11,2022-01-18,,26.57422000339573,,-75.07820602599486,,14.5,T,btc_call
20.9181803973288,,,,,2022-01-11,2022-02-13,20.9181803973288,,,,,16.5,T,write_cc
-6.72164037841263,6.72164037841263,,,,2022-01-21,2022-02-13,,20.9181803973288,,14.19654001891617,,16.5,T,btc_call
-12.051233581046228,12.051233581046228,,,,2022-01-24,2022-01-29,,61.86627575399992,,49.815042172953696,,16.0,F,btc_call
72.98427442049275,,,,,2022-01-24,2022-02-26,72.98427442049275,,,,,16.0,F,write_cc
36.88774954579426,,,,,2022-01-26,2022-02-28,36.88774954579426,,,,,15.0,T,write_cc
-25.200241775931566,25.200241775931566,,,,2022-02-03,2022-02-26,,72.98427442049275,,47.78403264456119,,16.0,F,btc_call
51.25670844680252,,,,,2022-02-03,2022-03-08,51.25670844680252,,,,,15.5,F,write_cc
